Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2025-11-18,0.00,8,0.00,0,,,0
2025-11-19,0.00,10,0.29,1,2.93,0,0
2025-11-20,0.00,6,0.00,0,,,0
2025-11-21,0.00,7,0.00,0,,,0
2025-11-22,0.00,22,0.00,0,,,0
2025-11-23,0.01,51,0.11,8,0.72,0.6667,0
2025-11-24,0.03,44,0.69,9,3.39,0.1429,0
2025-11-25,0.00,17,0.00,0,,,0
2025-11-26,0.00,26,0.19,24,0.20,0.3636,0
2025-11-27,0.01,7,1.41,9,1.09,0.5556,0
2025-11-28,0.00,7,0.48,23,0.15,0.3333,0
2025-11-29,0.00,1,0.00,0,,,0
2025-11-30,0.00,1,0.00,0,,,0
2025-12-01,0.01,13,0.78,18,0.57,0.5882,0
2025-12-02,0.01,3,4.11,8,1.54,0.625,0
2025-12-03,0.00,46,0.02,4,0.20,0,0
2025-12-04,0.06,24,2.36,47,1.20,0.4894,0
